Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse,Unikt navn
1085,Sjælland,316,Holbæk Kommune,150251,"Algestrup By, Sdr. Asmindrup","Algestrup By, Sdr. Asmindrup"
1085,Sjælland,316,Holbæk Kommune,151751,"Algestrup By, Tølløse","Algestrup By, Tølløse"
1085,Sjælland,326,Kalundborg Kommune,170451,"Algestrup Hgd., Føllenslev","Algestrup Hgd., Føllenslev"
1085,Sjælland,376,Guldborgsund Kommune,471251,"Ålholm Hgd., Vantore","Ålholm Hgd., Vantore"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1210351,"Alkærsig, Dejbjerg","Alkærsig, Dejbjerg"
1082,Midtjylland,746,Skanderborg Kommune,1040351,"Alken By, Dover","Alken By, Dover"
1082,Midtjylland,707,Norddjurs Kommune,971051,"Allelev By, Lyngby","Allelev By, Lyngby"
1083,Syddanmark,621,Kolding Kommune,1410151,"Aller Ejerlav, Aller","Aller Ejerlav, Aller"
1084,Hovedstaden,201,Allerød Kommune,130251,"Allerød By, Blovstrød","Allerød By, Blovstrød"
1085,Sjælland,350,Lejre Kommune,60151,"Allerslev By, Allerslev","Allerslev By, Allerslev (Lejre Kommune)"
1085,Sjælland,390,Vordingborg Kommune,260151,"Allerslev By, Allerslev","Allerslev By, Allerslev (Vordingborg Kommune)"
1083,Syddanmark,573,Varde Kommune,1341251,"Allerslev By, Outrup","Allerslev By, Outrup"
1083,Syddanmark,461,Odense Kommune,350251,"Allerup By, Allerup","Allerup By, Allerup"
1081,Nordjylland,810,Brønderslev Kommune,550551,"Allerup By, Hellevad","Allerup By, Hellevad"
1083,Syddanmark,430,Faaborg-Midtfyn Kommune,442151,"Allerup By, Sdr. Broby","Allerup By, Sdr. Broby"
1083,Syddanmark,561,Esbjerg Kommune,1351451,"Allerup By, Sneum","Allerup By, Sneum"
1085,Sjælland,316,Holbæk Kommune,141251,"Allerup By, Tuse","Allerup By, Tuse"
1083,Syddanmark,550,Tønder Kommune,1450551,"Allerup, Toftlund","Allerup, Toftlund"
1085,Sjælland,316,Holbæk Kommune,151451,"Allerups Springstrupjorder, Søstrup","Allerups Springstrupjorder, Søstrup"
1083,Syddanmark,461,Odense Kommune,360151,"Allese By, Allese","Allese By, Allese"
1085,Sjælland,326,Kalundborg Kommune,170351,"Alleshave By, Bregninge","Alleshave By, Bregninge"
1083,Syddanmark,430,Faaborg-Midtfyn Kommune,440251,"Allested By, Allested","Allested By, Allested"
1081,Nordjylland,840,Rebild Kommune,670651,"Allestrup By, Grynderup","Allestrup By, Grynderup"
1082,Midtjylland,707,Norddjurs Kommune,931851,"Allestrup By, Vejlby","Allestrup By, Vejlby"
1082,Midtjylland,730,Randers Kommune,890351,"Allestrupgård, Gassum","Allestrupgård, Gassum"
1085,Sjælland,329,Ringsted Kommune,210751,"Allindelille By, Haraldsted","Allindelille By, Haraldsted"
1085,Sjælland,329,Ringsted Kommune,210151,"Allindemagle By, Allindemagle","Allindemagle By, Allindemagle"
1085,Sjælland,329,Ringsted Kommune,210152,"Allindemagle Hgd., Allindemagle","Allindemagle Hgd., Allindemagle"
1082,Midtjylland,746,Skanderborg Kommune,1060151,"Alling By, Alling","Alling By, Alling"
1083,Syddanmark,573,Varde Kommune,1330151,"Ålling By, Ansager","Ålling By, Ansager"
1083,Syddanmark,573,Varde Kommune,1330755,"Ålling By, Skovlund","Ålling By, Skovlund"
1084,Hovedstaden,400,Bornholms Kommune,2002251,Allinge Bygrunde,Allinge Bygrunde
1084,Hovedstaden,400,Bornholms Kommune,2002253,Allinge-Sandvig Markjorder,Allinge-Sandvig Markjorder
1082,Midtjylland,740,Silkeborg Kommune,811051,"Allinggård Hgd., Svostrup","Allinggård Hgd., Svostrup"
1084,Hovedstaden,270,Gribskov Kommune,110552,"Alme By, Græsted","Alme By, Græsted"
1082,Midtjylland,791,Viborg Kommune,800151,"Almind By, Almind","Almind By, Almind (Viborg Kommune)"
1083,Syddanmark,621,Kolding Kommune,1150551,"Almind By, Almind","Almind By, Almind (Kolding Kommune)"
1085,Sjælland,360,Lolland Kommune,500953,"Alminde By, Landet","Alminde By, Landet"
1085,Sjælland,336,Stevns Kommune,310252,"Almindevænge, Endeslev","Almindevænge, Endeslev"
1083,Syddanmark,540,Sønderborg Kommune,1550651,"Almsted, Notmark","Almsted, Notmark"
1085,Sjælland,329,Ringsted Kommune,211551,"Almstofte By, Sneslev","Almstofte By, Sneslev"
1082,Midtjylland,740,Silkeborg Kommune,800751,"Almtoft By, Hørup","Almtoft By, Hørup"
1083,Syddanmark,461,Odense Kommune,2003867,"Åløkkegård Hgd., Odense Jorder","Åløkkegård Hgd., Odense Jorder"
1082,Midtjylland,727,Odder Kommune,1000151,"Alrø By, Alrø","Alrø By, Alrø"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1181251,"Alrum By, Stadil","Alrum By, Stadil"
1081,Nordjylland,846,Mariagerfjord Kommune,640151,"Als By, Als","Als By, Als"
1081,Nordjylland,846,Mariagerfjord Kommune,640152,"Als Overdrev, Als","Als Overdrev, Als"
1081,Nordjylland,849,Jammerbugt Kommune,580852,"Alsbjerg By, Torslev","Alsbjerg By, Torslev"
1083,Syddanmark,420,Assens Kommune,401651,"Ålsbo By, Rørup","Ålsbo By, Rørup"
1084,Hovedstaden,217,Helsingør Kommune,120451,"Ålsgårde, Hellebæk","Ålsgårde, Hellebæk"
1085,Sjælland,320,Faxe Kommune,300151,"Alslev By, Alslev","Alslev By, Alslev (Faxe Kommune)"
1083,Syddanmark,573,Varde Kommune,1350251,"Alslev By, Alslev","Alslev By, Alslev (Varde Kommune)"
1083,Syddanmark,550,Tønder Kommune,1500452,"Alslev over Åen, Højst","Alslev over Åen, Højst"
1083,Syddanmark,580,Aabenraa Kommune,1520252,"Alslev, Hjordkær","Alslev, Hjordkær"
1083,Syddanmark,550,Tønder Kommune,1500451,"Alslev, Højst","Alslev, Højst"
1085,Sjælland,320,Faxe Kommune,300152,"Alslevgård Hgd., Alslev","Alslevgård Hgd., Alslev"
1082,Midtjylland,707,Norddjurs Kommune,970153,"Ålsø By, Ålsø","Ålsø By, Ålsø"
1085,Sjælland,360,Lolland Kommune,480651,"Alsø By, Fuglse","Alsø By, Fuglse"
1084,Hovedstaden,219,Hillerød Kommune,100151,"Alsønderup By, Alsønderup","Alsønderup By, Alsønderup"
1082,Midtjylland,707,Norddjurs Kommune,970151,"Ålsrode By, Ålsø","Ålsrode By, Ålsø"
1082,Midtjylland,707,Norddjurs Kommune,970152,"Ålsrode Skov, Ålsø","Ålsrode Skov, Ålsø"
1081,Nordjylland,773,Morsø Kommune,730151,"Alsted By, Alsted","Alsted By, Alsted (Morsø Kommune)"
1085,Sjælland,340,Sorø Kommune,220151,"Alsted By, Alsted","Alsted By, Alsted (Sorø Kommune)"
1085,Sjælland,340,Sorø Kommune,220152,"Alsted-Flinterup By, Alsted","Alsted-Flinterup By, Alsted"
1083,Syddanmark,630,Vejle Kommune,1121051,"Alstedgård, Ø. Nykirke","Alstedgård, Ø. Nykirke"
1081,Nordjylland,849,Jammerbugt Kommune,570151,"Alstrup By, Alstrup","Alstrup By, Alstrup (Jammerbugt Kommune)"
1081,Nordjylland,820,Vesthimmerlands Kommune,670151,"Alstrup By, Alstrup","Alstrup By, Alstrup (Vesthimmerlands Kommune)"
1082,Midtjylland,741,Samsø Kommune,200152,"Alstrup By, Besser","Alstrup By, Besser"
